=== YOLOv8l Baseline Measurement ===
Parameters: conf=0.25, iou=0.7, imgsz=640

[SampleVideo-Scene-001.mp4] - Detections: 4
[SampleVideo-Scene-002.mp4] - Detections: 2
[SampleVideo-Scene-003.mp4] - Detections: 2
[SampleVideo-Scene-004.mp4] - Detections: 3
[SampleVideo-Scene-005.mp4] - Detections: 1
[SampleVideo-Scene-006.mp4] - Detections: 14
[SampleVideo-Scene-007.mp4] - Detections: 1
[SampleVideo-Scene-008.mp4] - Detections: 2
[SampleVideo-Scene-009.mp4] - Detections: 12
[SampleVideo-Scene-010.mp4] - Detections: 1
[SampleVideo-Scene-011.mp4] - Detections: 17
[SampleVideo-Scene-012.mp4] - Detections: 2
[SampleVideo-Scene-013.mp4] - Detections: 1
[SampleVideo-Scene-014.mp4] - Detections: 2
[SampleVideo-Scene-015.mp4] - Detections: 2
[SampleVideo-Scene-016.mp4] - Detections: 1
[SampleVideo-Scene-017.mp4] - Detections: 2
[SampleVideo-Scene-018.mp4] - Detections: 1
[SampleVideo-Scene-019.mp4] - Detections: 1
[SampleVideo-Scene-020.mp4] - Detections: 1
[SampleVideo-Scene-021.mp4] - Detections: 2
[SampleVideo-Scene-022.mp4] - Detections: 1
[SampleVideo-Scene-023.mp4] - Detections: 1
[SampleVideo-Scene-024.mp4] - Detections: 3
[SampleVideo-Scene-025.mp4] - Detections: 3
[SampleVideo-Scene-026.mp4] - Detections: 10
[SampleVideo-Scene-027.mp4] - Detections: 4
[SampleVideo-Scene-028.mp4] - Detections: 3
[SampleVideo-Scene-029.mp4] - Detections: 3
[SampleVideo-Scene-030.mp4] - Detections: 4
[SampleVideo-Scene-031.mp4] - Detections: 3
[SampleVideo-Scene-032.mp4] - Detections: 5
[SampleVideo-Scene-033.mp4] - Detections: 6
[SampleVideo-Scene-034.mp4] - Detections: 2
[SampleVideo-Scene-035.mp4] - Detections: 1
[SampleVideo-Scene-036.mp4] - Detections: 3
[SampleVideo-Scene-037.mp4] - Detections: 3
